,Method Name,Investment Period (Months),Initial Value,Final Value,Total Gain,Percent Gain
1,LSTM top1,1.0,100000.0,100000.0,0.0,0.0 %
2,LSTM top1,2.0,100000.0,110185.87,10185.87,10.19 %
3,LSTM top1,3.0,100000.0,108288.97,8288.97,8.29 %
4,LSTM top1,4.0,100000.0,88297.89,-11702.11,-11.7 %
5,LSTM top1,5.0,100000.0,88907.71,-11092.29,-11.09 %
6,LSTM top1,6.0,100000.0,100000.0,0.0,0.0 %
7,LSTM top2,1.0,100000.0,96799.73,-3200.27,-3.2 %
8,LSTM top2,2.0,100000.0,100610.27,610.27,0.61 %
9,LSTM top2,3.0,100000.0,98349.68,-1650.32,-1.65 %
10,LSTM top2,4.0,100000.0,101960.39,1960.39,1.96 %
11,LSTM top2,5.0,100000.0,98004.95,-1995.05,-2.0 %
12,LSTM top2,6.0,100000.0,97315.76,-2684.24,-2.68 %
13,LSTM top3,1.0,100000.0,99825.84,-174.16,-0.17 %
14,LSTM top3,2.0,100000.0,98906.39,-1093.61,-1.09 %
15,LSTM top3,3.0,100000.0,95573.99,-4426.01,-4.43 %
16,LSTM top3,4.0,100000.0,102045.33,2045.33,2.05 %
17,LSTM top3,5.0,100000.0,99502.24,-497.76,-0.5 %
18,LSTM top3,6.0,100000.0,98558.9,-1441.1,-1.44 %
19,LSTM top4,1.0,100000.0,102164.63,2164.63,2.16 %
20,LSTM top4,2.0,100000.0,97290.19,-2709.81,-2.71 %
21,LSTM top4,3.0,100000.0,93190.72,-6809.28,-6.81 %
22,LSTM top4,4.0,100000.0,101496.44,1496.44,1.5 %
23,LSTM top4,5.0,100000.0,101435.54,1435.54,1.44 %
24,LSTM top4,6.0,100000.0,100430.78,430.78,0.43 %
25,LSTM top5,1.0,100000.0,100914.44,914.44,0.91 %
26,LSTM top5,2.0,100000.0,93033.83,-6966.17,-6.97 %
27,LSTM top5,3.0,100000.0,93051.91,-6948.09,-6.95 %
28,LSTM top5,4.0,100000.0,105944.17,5944.17,5.94 %
29,LSTM top5,5.0,100000.0,100801.1,801.1,0.8 %
30,LSTM top5,6.0,100000.0,99857.3,-142.7,-0.14 %
